16:06:08 [INFO] Loading grid spec from data/param-grid-spec-cluster-009.json
16:06:08 [INFO] Grid spec loaded:
16:06:08 [INFO]   Candidates: 2
16:06:08 [INFO]   Cost mode entries: 4
16:06:08 [INFO]   Parameter combinations: 15625
16:06:08 [INFO]   Leverage levels: 1
16:06:08 [INFO]   Total runs: 62500
16:06:08 [INFO]   Parallelism: 8
16:06:08 [INFO] Grid: 62500 combinations
16:06:08 [INFO] Parallelism: 8 processes
16:06:08 [INFO] Output: data/param-search-v2
16:06:15 [INFO] Progress: 6600/62500 done (0 new ok, 6600 resumed, 0 failed)
16:06:15 [INFO] Progress: 6700/62500 done (0 new ok, 6700 resumed, 0 failed)
16:06:16 [INFO] Progress: 6800/62500 done (0 new ok, 6800 resumed, 0 failed)
16:06:16 [INFO] Progress: 6900/62500 done (0 new ok, 6900 resumed, 0 failed)
16:06:16 [INFO] Progress: 7000/62500 done (0 new ok, 7000 resumed, 0 failed)
16:06:16 [INFO] Progress: 7100/62500 done (0 new ok, 7100 resumed, 0 failed)
16:06:16 [INFO] Progress: 7200/62500 done (0 new ok, 7200 resumed, 0 failed)
16:06:16 [INFO] Progress: 7300/62500 done (0 new ok, 7300 resumed, 0 failed)
16:06:17 [INFO] Progress: 7400/62500 done (0 new ok, 7400 resumed, 0 failed)
16:06:17 [INFO] Progress: 7500/62500 done (0 new ok, 7500 resumed, 0 failed)
16:06:17 [INFO] Progress: 7600/62500 done (0 new ok, 7600 resumed, 0 failed)
16:06:17 [INFO] Progress: 7700/62500 done (0 new ok, 7700 resumed, 0 failed)
16:06:17 [INFO] Progress: 7800/62500 done (0 new ok, 7800 resumed, 0 failed)
16:06:17 [INFO] Progress: 7900/62500 done (0 new ok, 7900 resumed, 0 failed)
16:06:18 [INFO] Progress: 8000/62500 done (0 new ok, 8000 resumed, 0 failed)
16:06:18 [INFO] Progress: 8100/62500 done (0 new ok, 8100 resumed, 0 failed)
16:06:18 [INFO] Progress: 8200/62500 done (0 new ok, 8200 resumed, 0 failed)
16:06:18 [INFO] Progress: 8300/62500 done (0 new ok, 8300 resumed, 0 failed)
16:06:18 [INFO] Progress: 8400/62500 done (0 new ok, 8400 resumed, 0 failed)
16:06:19 [INFO] Progress: 8500/62500 done (0 new ok, 8500 resumed, 0 failed)
16:06:19 [INFO] Progress: 8600/62500 done (0 new ok, 8600 resumed, 0 failed)
16:06:19 [INFO] Progress: 8700/62500 done (0 new ok, 8700 resumed, 0 failed)
16:06:19 [INFO] Progress: 8800/62500 done (0 new ok, 8800 resumed, 0 failed)
16:06:19 [INFO] Progress: 8900/62500 done (0 new ok, 8900 resumed, 0 failed)
16:06:20 [INFO] Progress: 9000/62500 done (0 new ok, 9000 resumed, 0 failed)
16:06:20 [INFO] Progress: 9100/62500 done (0 new ok, 9100 resumed, 0 failed)
16:06:20 [INFO] Progress: 9200/62500 done (0 new ok, 9200 resumed, 0 failed)
16:06:20 [INFO] Progress: 9300/62500 done (0 new ok, 9300 resumed, 0 failed)
16:06:20 [INFO] Progress: 9400/62500 done (0 new ok, 9400 resumed, 0 failed)
16:06:21 [INFO] Progress: 9500/62500 done (0 new ok, 9500 resumed, 0 failed)
16:06:21 [INFO] Progress: 9600/62500 done (0 new ok, 9600 resumed, 0 failed)
16:06:21 [INFO] Progress: 9700/62500 done (0 new ok, 9700 resumed, 0 failed)
16:06:21 [INFO] Progress: 9800/62500 done (0 new ok, 9800 resumed, 0 failed)
16:06:22 [INFO] Progress: 9900/62500 done (0 new ok, 9900 resumed, 0 failed)
16:06:22 [INFO] Progress: 10000/62500 done (0 new ok, 10000 resumed, 0 failed)
16:06:22 [INFO] Progress: 10100/62500 done (0 new ok, 10100 resumed, 0 failed)
16:06:22 [INFO] Progress: 10200/62500 done (0 new ok, 10200 resumed, 0 failed)
16:06:22 [INFO] Progress: 10300/62500 done (0 new ok, 10300 resumed, 0 failed)
16:06:23 [INFO] Progress: 10400/62500 done (0 new ok, 10400 resumed, 0 failed)
16:06:23 [INFO] Progress: 10500/62500 done (0 new ok, 10500 resumed, 0 failed)
16:06:24 [INFO] Progress: 10600/62500 done (0 new ok, 10600 resumed, 0 failed)
16:06:24 [INFO] Progress: 10700/62500 done (0 new ok, 10700 resumed, 0 failed)
16:06:24 [INFO] Progress: 10800/62500 done (0 new ok, 10800 resumed, 0 failed)
16:06:24 [INFO] Progress: 10900/62500 done (0 new ok, 10900 resumed, 0 failed)
16:06:25 [INFO] Progress: 11000/62500 done (0 new ok, 11000 resumed, 0 failed)
16:06:25 [INFO] Progress: 11100/62500 done (0 new ok, 11100 resumed, 0 failed)
16:06:25 [INFO] Progress: 11200/62500 done (0 new ok, 11200 resumed, 0 failed)
16:06:25 [INFO] Progress: 11300/62500 done (0 new ok, 11300 resumed, 0 failed)
16:06:26 [INFO] Progress: 11400/62500 done (0 new ok, 11400 resumed, 0 failed)
16:06:26 [INFO] Progress: 11500/62500 done (0 new ok, 11500 resumed, 0 failed)
16:06:26 [INFO] Progress: 11600/62500 done (0 new ok, 11600 resumed, 0 failed)
16:06:26 [INFO] Progress: 11700/62500 done (0 new ok, 11700 resumed, 0 failed)
16:06:27 [INFO] Progress: 11800/62500 done (0 new ok, 11800 resumed, 0 failed)
16:06:27 [INFO] Progress: 11900/62500 done (0 new ok, 11900 resumed, 0 failed)
16:06:27 [INFO] Progress: 12000/62500 done (0 new ok, 12000 resumed, 0 failed)
16:06:27 [INFO] Progress: 12100/62500 done (0 new ok, 12100 resumed, 0 failed)
16:06:28 [INFO] Progress: 12200/62500 done (0 new ok, 12200 resumed, 0 failed)
16:06:28 [INFO] Progress: 12300/62500 done (0 new ok, 12300 resumed, 0 failed)
16:06:28 [INFO] Progress: 12400/62500 done (0 new ok, 12400 resumed, 0 failed)
16:06:29 [INFO] Progress: 12500/62500 done (0 new ok, 12500 resumed, 0 failed)
16:06:29 [INFO] Progress: 12600/62500 done (0 new ok, 12600 resumed, 0 failed)
16:06:29 [INFO] Progress: 12700/62500 done (0 new ok, 12700 resumed, 0 failed)
16:06:30 [INFO] Progress: 12800/62500 done (0 new ok, 12800 resumed, 0 failed)
16:06:30 [INFO] Progress: 12900/62500 done (0 new ok, 12900 resumed, 0 failed)
16:06:30 [INFO] Progress: 13000/62500 done (0 new ok, 13000 resumed, 0 failed)
16:06:31 [INFO] Progress: 13100/62500 done (0 new ok, 13100 resumed, 0 failed)
16:06:31 [INFO] Progress: 13200/62500 done (0 new ok, 13200 resumed, 0 failed)
16:06:31 [INFO] Progress: 13300/62500 done (0 new ok, 13300 resumed, 0 failed)
16:06:31 [INFO] Progress: 13400/62500 done (0 new ok, 13400 resumed, 0 failed)
16:06:32 [INFO] Progress: 13500/62500 done (0 new ok, 13500 resumed, 0 failed)
16:06:32 [INFO] Progress: 13600/62500 done (0 new ok, 13600 resumed, 0 failed)
16:06:32 [INFO] Progress: 13700/62500 done (0 new ok, 13700 resumed, 0 failed)
