14:18:34 [INFO] Loading grid spec from data/param-grid-spec.json
14:18:34 [INFO] Grid spec loaded:
14:18:34 [INFO]   Candidates: 9
14:18:34 [INFO]   Cost mode entries: 18
14:18:34 [INFO]   Parameter combinations: 15625
14:18:34 [INFO]   Leverage levels: 1
14:18:34 [INFO]   Total runs: 281250
14:18:34 [INFO]   Parallelism: 8
14:18:35 [INFO] Grid: 281250 combinations
14:18:35 [INFO] Parallelism: 8 processes
14:18:35 [INFO] Output: data/param-search-v2
14:18:46 [INFO] Progress: 6600/281250 done (0 new ok, 6600 resumed, 0 failed)
14:18:46 [INFO] Progress: 6700/281250 done (0 new ok, 6700 resumed, 0 failed)
14:18:47 [INFO] Progress: 6800/281250 done (0 new ok, 6800 resumed, 0 failed)
14:18:47 [INFO] Progress: 6900/281250 done (0 new ok, 6900 resumed, 0 failed)
14:18:47 [INFO] Progress: 7000/281250 done (0 new ok, 7000 resumed, 0 failed)
14:18:47 [INFO] Progress: 7100/281250 done (0 new ok, 7100 resumed, 0 failed)
14:18:47 [INFO] Progress: 7200/281250 done (0 new ok, 7200 resumed, 0 failed)
14:18:47 [INFO] Progress: 7300/281250 done (0 new ok, 7300 resumed, 0 failed)
14:18:47 [INFO] Progress: 7400/281250 done (0 new ok, 7400 resumed, 0 failed)
14:18:48 [INFO] Progress: 7500/281250 done (0 new ok, 7500 resumed, 0 failed)
14:18:48 [INFO] Progress: 7600/281250 done (0 new ok, 7600 resumed, 0 failed)
14:18:48 [INFO] Progress: 7700/281250 done (0 new ok, 7700 resumed, 0 failed)
14:18:48 [INFO] Progress: 7800/281250 done (0 new ok, 7800 resumed, 0 failed)
14:18:48 [INFO] Progress: 7900/281250 done (0 new ok, 7900 resumed, 0 failed)
14:18:48 [INFO] Progress: 8000/281250 done (0 new ok, 8000 resumed, 0 failed)
14:18:49 [INFO] Progress: 8100/281250 done (0 new ok, 8100 resumed, 0 failed)
14:18:49 [INFO] Progress: 8200/281250 done (0 new ok, 8200 resumed, 0 failed)
14:18:49 [INFO] Progress: 8300/281250 done (0 new ok, 8300 resumed, 0 failed)
14:18:49 [INFO] Progress: 8400/281250 done (0 new ok, 8400 resumed, 0 failed)
14:18:49 [INFO] Progress: 8500/281250 done (0 new ok, 8500 resumed, 0 failed)
14:18:49 [INFO] Progress: 8600/281250 done (0 new ok, 8600 resumed, 0 failed)
14:18:49 [INFO] Progress: 8700/281250 done (0 new ok, 8700 resumed, 0 failed)
14:18:50 [INFO] Progress: 8800/281250 done (0 new ok, 8800 resumed, 0 failed)
14:18:50 [INFO] Progress: 8900/281250 done (0 new ok, 8900 resumed, 0 failed)
14:18:50 [INFO] Progress: 9000/281250 done (0 new ok, 9000 resumed, 0 failed)
14:18:50 [INFO] Progress: 9100/281250 done (0 new ok, 9100 resumed, 0 failed)
14:18:50 [INFO] Progress: 9200/281250 done (0 new ok, 9200 resumed, 0 failed)
14:18:50 [INFO] Progress: 9300/281250 done (0 new ok, 9300 resumed, 0 failed)
14:18:51 [INFO] Progress: 9400/281250 done (0 new ok, 9400 resumed, 0 failed)
14:18:51 [INFO] Progress: 9500/281250 done (0 new ok, 9500 resumed, 0 failed)
14:18:51 [INFO] Progress: 9600/281250 done (0 new ok, 9600 resumed, 0 failed)
14:18:51 [INFO] Progress: 9700/281250 done (0 new ok, 9700 resumed, 0 failed)
14:18:51 [INFO] Progress: 9800/281250 done (0 new ok, 9800 resumed, 0 failed)
14:18:52 [INFO] Progress: 9900/281250 done (0 new ok, 9900 resumed, 0 failed)
14:18:52 [INFO] Progress: 10000/281250 done (0 new ok, 10000 resumed, 0 failed)
14:18:52 [INFO] Progress: 10100/281250 done (0 new ok, 10100 resumed, 0 failed)
