13:12:20 [INFO] Loading grid spec from data/param-grid-spec.json
13:12:20 [INFO] Grid spec loaded:
13:12:20 [INFO]   Candidates: 9
13:12:20 [INFO]   Cost mode entries: 18
13:12:20 [INFO]   Parameter combinations: 15625
13:12:20 [INFO]   Leverage levels: 1
13:12:20 [INFO]   Total runs: 281250
13:12:20 [INFO]   Parallelism: 8
13:12:21 [INFO] Grid: 281250 combinations
13:12:21 [INFO] Parallelism: 8 processes
13:12:21 [INFO] Output: data/param-search-v2
13:12:27 [INFO] Progress: 1800/281250 done (0 new ok, 1800 resumed, 0 failed)
13:12:27 [INFO] Progress: 1900/281250 done (0 new ok, 1900 resumed, 0 failed)
13:12:27 [INFO] Progress: 2000/281250 done (0 new ok, 2000 resumed, 0 failed)
13:12:27 [INFO] Progress: 2100/281250 done (0 new ok, 2100 resumed, 0 failed)
13:12:27 [INFO] Progress: 2200/281250 done (0 new ok, 2200 resumed, 0 failed)
13:12:27 [INFO] Progress: 2300/281250 done (0 new ok, 2300 resumed, 0 failed)
13:12:27 [INFO] Progress: 2400/281250 done (0 new ok, 2400 resumed, 0 failed)
13:12:27 [INFO] Progress: 2500/281250 done (0 new ok, 2500 resumed, 0 failed)
13:12:27 [INFO] Progress: 2600/281250 done (0 new ok, 2600 resumed, 0 failed)
13:12:27 [INFO] Progress: 2700/281250 done (0 new ok, 2700 resumed, 0 failed)
13:12:28 [INFO] Progress: 2800/281250 done (0 new ok, 2800 resumed, 0 failed)
13:12:28 [INFO] Progress: 2900/281250 done (0 new ok, 2900 resumed, 0 failed)
13:12:28 [INFO] Progress: 3000/281250 done (0 new ok, 3000 resumed, 0 failed)
13:12:28 [INFO] Progress: 3100/281250 done (0 new ok, 3100 resumed, 0 failed)
13:12:28 [INFO] Progress: 3200/281250 done (0 new ok, 3200 resumed, 0 failed)
13:12:28 [INFO] Progress: 3300/281250 done (0 new ok, 3300 resumed, 0 failed)
