15:49:37 [INFO] Loading grid spec from data/param-grid-spec-cluster-003.json
15:49:37 [INFO] Grid spec loaded:
15:49:37 [INFO]   Candidates: 1
15:49:37 [INFO]   Cost mode entries: 2
15:49:37 [INFO]   Parameter combinations: 15625
15:49:37 [INFO]   Leverage levels: 1
15:49:37 [INFO]   Total runs: 31250
15:49:37 [INFO]   Parallelism: 8
15:49:37 [INFO] Grid: 31250 combinations
15:49:37 [INFO] Parallelism: 8 processes
15:49:37 [INFO] Output: data/param-search-v2
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.32: 42 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.31: 42 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.34: 42 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.33: 42 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.37: 41 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.38: 41 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.36: 41 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.35: 41 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.39: 41 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.40: 40 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.41: 41 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.42: 41 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.44: 40 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.43: 40 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.46: 41 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.45: 40 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.47: 41 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.48: 40 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.50: 46 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.49: 40 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.52: 46 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.51: 46 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.53: 46 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.54: 46 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.55: 42 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.56: 42 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.59: 42 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.58: 42 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.57: 42 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.60: 41 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.61: 41 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.62: 41 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.63: 41 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.64: 41 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.66: 41 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.65: 40 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.70: 40 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.67: 41 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.68: 40 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.69: 40 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.72: 41 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.71: 41 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.73: 40 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.74: 40 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.75: 46 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.76: 46 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.78: 46 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.77: 46 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.79: 46 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.80: 42 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.81: 42 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.82: 42 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.83: 42 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.84: 42 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.86: 41 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.87: 41 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.85: 41 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.88: 41 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.89: 41 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.90: 40 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.92: 41 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.91: 41 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.94: 40 trades, 0.1s
